Title,Artist,Nationality,Gender,Date,DateAcquired,URL,ThumbnailURL,Column
What You Mean We?,Laurie Anderson,(American),(Female),1986,1986-11-25,http://www.moma.org/collection/works/88831,http://www.moma.org/media/W1siZiIsIjQwMDUxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6bd7938e2afbea87,
Head,Cheryl Donegan,(American),(Female),1993,1999-01-28,http://www.moma.org/collection/works/88832,http://www.moma.org/media/W1siZiIsIjExMzQxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=43ac47a10e6c371b,
Three Transitions,Peter Campus,(American),(Male),1973,1976-07-21,http://www.moma.org/collection/works/88833,,
URA ARU (the backside exists),Gary Hill,(American),(Male),1986,1985-12-15,http://www.moma.org/collection/works/88837,http://www.moma.org/media/W1siZiIsIjE1MTU2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a411dd11a12f425b,
The Loner,Tony Oursler,(American),(Male),1980,1981-11-16,http://www.moma.org/collection/works/88838,http://www.moma.org/media/W1siZiIsIjExMDc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=76294e82289daf50,
Interregna,John Pilson,(American),(Male),2000,,http://www.moma.org/collection/works/88840,,
Meta-Mayan II,Edin Vélez,(American),(Male),1981,1981-11-16,http://www.moma.org/collection/works/88841,http://www.moma.org/media/W1siZiIsIjE5NDIyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=63bb1443f1f4a48e,
Double Lunar Dogs,Joan Jonas,(American),(Female),1984,1992-12-15,http://www.moma.org/collection/works/89352,http://www.moma.org/media/W1siZiIsIjEyNzE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a5dc106e97516d7,
Chott el-Djerid (A Portrait in Light and Heat),Bill Viola,(American),(Male),1979,1981-03-04,http://www.moma.org/collection/works/89506,http://www.moma.org/media/W1siZiIsIjczOTY4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c6b6bdeff7470d12,
89 seconds at Alcázar,Eve Sussman | Rufus Corporation,(American),(Female),2004,2004-04-13,http://www.moma.org/collection/works/93645,,
