ecrivain,ecrivainLabel,nationaliteLabel,dateNaissance,dateMort,lieuNaissanceLabel,lieuDecesLabel,GeolocLieuNaissance,GeolocLieuDeces
http://www.wikidata.org/entity/Q174210,Julio Cortázar,Argentine,1914-08-26T00:00:00Z,1984-02-12T00:00:00Z,Ixelles,Paris,Point(4.361388888 50.830277777),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q185085,Miguel de Unamuno,Espagne,1864-09-29T00:00:00Z,1936-12-31T00:00:00Z,Bilbao,Salamanque,Point(-2.953333333 43.262222222),Point(-5.663888888 40.965)
http://www.wikidata.org/entity/Q181920,Tony Hillerman,États-Unis,1925-05-27T00:00:00Z,2008-10-26T00:00:00Z,Oklahoma,Albuquerque,Point(-98.0 35.5),Point(-106.616666666 35.116666666)
http://www.wikidata.org/entity/Q187331,Zelda Popkin,États-Unis,1898-07-05T00:00:00Z,1983-05-25T00:00:00Z,New York,Silver Spring,Point(-73.94 40.67),Point(-77.019004 39.004242)
http://www.wikidata.org/entity/Q183167,G. K. Chesterton,Royaume-Uni de Grande-Bretagne et d'Irlande,1874-05-29T00:00:00Z,1936-06-14T00:00:00Z,Kensington,Beaconsfield,Point(-0.1909 51.5004),Point(-0.634680555 51.600872222)
http://www.wikidata.org/entity/Q184622,Jean Genet,France,1910-12-19T00:00:00Z,1986-04-15T00:00:00Z,Paris,Paris,Point(2.351827777 48.856577777),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q180377,Raymond Chandler,États-Unis,1888-07-23T00:00:00Z,1959-03-26T00:00:00Z,Chicago,La Jolla,Point(-87.65 41.9),Point(-117.276944444 32.84)
http://www.wikidata.org/entity/Q185333,Roger Mais,Jamaïque,1905-08-11T00:00:00Z,1955-06-21T00:00:00Z,Kingston,Kingston,Point(-76.8 17.983333333),Point(-76.8 17.983333333)
http://www.wikidata.org/entity/Q176579,Itō Sachio,Japon,1864-09-18T00:00:00Z,1913-07-30T00:00:00Z,province de Kazusa,Tokyo,Point(140.116882 35.30616),Point(139.77 35.68)
http://www.wikidata.org/entity/Q182658,Harper Lee,États-Unis,1926-04-28T00:00:00Z,2016-02-19T00:00:00Z,Monroeville,Monroeville,Point(-87.327543 31.518075),Point(-87.327543 31.518075)
http://www.wikidata.org/entity/Q181573,Fazil Iskander,Russie,1929-03-06T00:00:00Z,2016-07-31T00:00:00Z,Soukhoumi,Peredelkino,Point(41.015277777 43.003333333),Point(37.3325 55.655555555)
http://www.wikidata.org/entity/Q183167,G. K. Chesterton,Royaume-Uni,1874-05-29T00:00:00Z,1936-06-14T00:00:00Z,Kensington,Beaconsfield,Point(-0.1909 51.5004),Point(-0.634680555 51.600872222)
http://www.wikidata.org/entity/Q187019,Philip Roth,États-Unis,1933-03-19T00:00:00Z,2018-05-22T00:00:00Z,Newark,Manhattan,Point(-74.185 40.735277777),Point(-73.994166666 40.728333333)
http://www.wikidata.org/entity/Q185714,Daniel Keyes,États-Unis,1927-08-09T00:00:00Z,2014-06-15T00:00:00Z,Brooklyn,Boca Raton,Point(-73.990277777 40.692777777),Point(-80.1 26.368611111)
