Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Jacopo Peri;Euridice;1600-10-06;palais Pitti;43.765,11.25;italien;
Giulio Caccini;Euridice;1602-12-05;palais Pitti;43.765,11.25;italien;
Claudio Monteverdi;L'Arianna;1608-05-25;Palazzo Ducale;45.159722,10.798611;italien;
Claudio Monteverdi;Il ritorno d'Ulisse in patria;1639-01-01;Teatro San Cassiano;45.439675,12.33208889;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Claudio%20Monteverdi%20-%20Il%20ritorno%20d%27Ulisse%20in%20patria%20-%20title%20page%20of%20the%20libretto%20-%20Venice%201641.png
Francesco Cavalli;Il Giasone;1649-01-05;Teatro San Cassiano;45.439675,12.33208889;italien;
Jean-Baptiste Lully;Atys;1676-01-10;château de Saint-Germain-en-Laye;48.898055555,2.096388888;français;http://commons.wikimedia.org/wiki/Special:FilePath/Atys%20by%20Jean-Baptiste%20Lully.png
Jean-Baptiste Lully;Armide;1686-02-15;Paris;48.856577777,2.351827777;français;http://commons.wikimedia.org/wiki/Special:FilePath/Armide%20Portada.jpg
Jean-Baptiste Lully;Armide;1686-02-15;théâtre du Palais-Royal;48.8662,2.337638888;français;http://commons.wikimedia.org/wiki/Special:FilePath/Armide%20Portada.jpg
Henry Purcell;Dioclesian;1690-01-01;théâtre de Dorset Garden;51.5142,-0.108056;anglais;
Henry Purcell;The Fairy Queen;1692-05-02;théâtre de Dorset Garden;51.5142,-0.108056;anglais;http://commons.wikimedia.org/wiki/Special:FilePath/The%20Fairy-Queen2.gif
Marc-Antoine Charpentier;Médée;1693-12-04;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Marc-Antoine%20Charpentier%20-%20M%C3%A9d%C3%A9e%20-%20title%20page%20of%20the%20libretto%20-%20Paris%201693.png
Henry Purcell;The Indian Queen;1695-01-01;théâtre de Drury Lane;51.5128,-0.120556;anglais;
André Campra;Iphigénie en Tauride;1704-05-06;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Iphigenie%20grav.jpg
Henry Desmarest;Iphigénie en Tauride;1704-05-06;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Iphigenie%20grav.jpg
Georg Friedrich Haendel;Almira;1705-01-08;Oper am Gänsemarkt;53.555,9.98833333;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/George%20Frideric%20Handel%20by%20Balthasar%20Denner.jpg
Antonio Caldara;Il più bel nome;1708-08-02;Loge de mer de Barcelone;41.3822,2.1825;italien;
Tomaso Albinoni;Pimpinone;1708-11-26;Teatro San Cassiano;45.439675,12.33208889;italien;
André Campra;Les Fêtes vénitiennes;1710-06-17;opéra de Paris;48.8719697,2.3316014;français;
Georg Friedrich Haendel;Rinaldo;1711-02-24;Her Majesty's Theatre;51.5081,-0.132;italien;http://commons.wikimedia.org/wiki/Special:FilePath/George%20Frideric%20Handel%20by%20Balthasar%20Denner.jpg
André Campra;Idoménée;1712-01-01;opéra de Paris;48.8719697,2.3316014;français;
Antonio Vivaldi;La Silvia;1721-08-28;Teatro Regio Ducal;45.4632,9.19114;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Vivaldi.jpg
Georg Friedrich Haendel;Giulio Cesare in Egitto;1724-02-20;Her Majesty's Theatre;51.5081,-0.132;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Giulio%20Cesare%20opera.PNG
Tomaso Albinoni;Didone abbandonata;1724-12-26;Teatro San Cassiano;45.439675,12.33208889;italien;
Georg Philipp Telemann;Orpheus;1726-03-09;Oper am Gänsemarkt;53.555,9.98833333;allemand;
Georg Friedrich Haendel;Poro, Re dell'Indie;1731-02-02;Her Majesty's Theatre;51.5081,-0.132;italien;
Antonio Caldara;Demofoonte;1733-11-04;Burgtheater;48.210278,16.360833;italien;
