artist,artistLabel,birthPlaceLabel,coordsBP,coordsBPPast,pic,causeLabel,signat,plBurialLabel,plBurialCoords,plBurialCoordsPast,deathDate,generated
http://www.wikidata.org/entity/Q440369,Maurice Denis,Granville,"52.216666666, 21.033333333","-1.586944444,48.838055555",http://commons.wikimedia.org/wiki/Special:FilePath/115%20Maurice%20Denis%20Portrait%20de%20l%27artiste%20%C3%A0%20l%27%C3%A2ge%20de%2018%20ans.jpg,,,ancient cemetery of Saint-Germain-en-Laye,"48.805833333,2.309166666","48.9005893,2.0801601",1943-11-13,0
http://www.wikidata.org/entity/Q3562681,Abidin Dino,Istanbul,"8.116666666, -63.55","28.960277777,41.01",http://commons.wikimedia.org/wiki/Special:FilePath/Abidin%20dino%20statue%20detail.jpg,,http://commons.wikimedia.org/wiki/Special:FilePath/Abidin%20dino%20signature.svg,Aşiyan Asri Cemetery,"48.838055555,2.326944444","41.0828437,29.0533661",1993-12-07,1
http://www.wikidata.org/entity/Q271743,Toyen,Smíchov,"48.856577777, 2.351827777","14.405556,50.075278",http://commons.wikimedia.org/wiki/Special:FilePath/Toyen1930.jpg,,,Batignolles Cemetery,"48.861944444,2.394166666","48.8967048,2.3117463",1980-11-09,2
http://www.wikidata.org/entity/Q319861,Alexandre Benois,Saint Petersburg,"48.692777777, 6.183611111","30.316666666,59.95",http://commons.wikimedia.org/wiki/Special:FilePath/Benua%20Bakst.jpg,,,Batignolles Cemetery,"48.861944444,2.394166666","48.8967048,2.3117464",1960-02-09,3
http://www.wikidata.org/entity/Q3293770,Marius Borgeaud,Lausanne,"50.025555555, 5.374166666","6.633333333,46.533333333",http://commons.wikimedia.org/wiki/Special:FilePath/Marius%20Borgeaud.jpg,,,Batignolles Cemetery,"48.861944444,2.394166666","48.8967048,2.3117465",1924-07-16,4
http://www.wikidata.org/entity/Q3301193,Maurice Neumont,Paris,"50.025555555, 5.374166666","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Neumont.jpg,,,Batignolles Cemetery,"48.861944444,2.394166666","48.8967048,2.3117466",1930-02-10,5
http://www.wikidata.org/entity/Q1366826,Léon Dierx,Saint-Denis,"46.9275, 26.370833333","55.448055555,-20.878888888",http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Dierx%20by%20Dornac%20%28cropped%29.jpg,,http://commons.wikimedia.org/wiki/Special:FilePath/Envoi%20L%C3%A9on%20Dierx.JPG,Batignolles Cemetery,"48.887777777,2.330277777","48.8967048,2.3117467",1912-06-12,6
http://www.wikidata.org/entity/Q3103159,Georges Maroniez,Douai,"44.035555555, 4.997222222","3.079166666,50.370833333",http://commons.wikimedia.org/wiki/Special:FilePath/G.Maroniez.jpg,,,Cambrai (Route De Solesmes) Communal Cemetery,"48.887777777,2.330277777","50.1368979,3.0131135",1933-12-11,7
http://www.wikidata.org/entity/Q52550243,Gabriel Coffinières de Nordeck,Montpellier,"44.837777777, -0.579444444","3.877230555,43.610919444",http://commons.wikimedia.org/wiki/Special:FilePath/Coffinieres%20de%20Nordeck%2C%20Gabriel.jpg,,,Castelnaudary,"48.887777777,2.330277777","43.2923294,1.9823047",1898-03-06,8
http://www.wikidata.org/entity/Q2871362,Auguste Pointelin,Arbois,"45.758888888, 4.841388888","5.773888888,46.902777777",http://commons.wikimedia.org/wiki/Special:FilePath/Buste%20d%27Auguste%20Pointelin%20%C3%A0%20Mont-sous-Vaudrey.JPG,,,cemetery of Mont-sous-Vaudrey,"48.861944444,2.394166666","46.9888835,5.250423",1933-04-09,9
http://www.wikidata.org/entity/Q2274629,Antonin Mercié,Toulouse,"48.804444444, 6.342222222","1.443888888,43.604444444",http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Casas%20-%20MNAC-%20Antonin%20Merci%C3%A9-%20027262-D%20006411.jpg,,,Cemetery of Terre Cabade,"48.887777777,2.330277777","43.606993,1.4581446",1916-12-13,10
http://www.wikidata.org/entity/Q362003,Giovanni Boldini,Ferrara,"48.856577777, 2.351827777","11.619865,44.835297",http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Boldini.jpg,,,Certosa of Ferrara,"48.861944444,2.394166666","44.8443418,11.6232859",1931-01-12,11
http://www.wikidata.org/entity/Q466639,Olga Boznańska,Kraków,"41.316666666, 16.283333333","19.95,50.066666666",http://commons.wikimedia.org/wiki/Special:FilePath/Olga%20Bozna%C5%84ska%2C%20Autoportret.jpg,,,Champeaux cemetery of Montmorency,"48.861944444,2.394166666","48.993976,2.3213893",1940-10-26,12
http://www.wikidata.org/entity/Q1715115,Józef Szermentowski,Bodzentyn,"43.610919444, 3.877230555","20.966666666,50.95",http://commons.wikimedia.org/wiki/Special:FilePath/Jozef%20Szermentowski.png,,,Champeaux cemetery of Montmorency,"41.893055555,12.482777777","2.1925,48.5938",1876-09-06,13
http://www.wikidata.org/entity/Q277738,Jean-Marc Nattier,Paris,"43.610919444, 3.877230555","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Tocqu%C3%A9%2C%20Jean-Marc%20Nattier%20%281740s%29.jpg,,,Church of Saint Eustace,"48.846111111,2.345833333","2.345,48.863333333",1766-11-07,14
http://www.wikidata.org/entity/Q517622,Mela Muter,Warsaw,"48.856577777, 2.351827777","21.033333333,52.216666666",http://commons.wikimedia.org/wiki/Special:FilePath/Boles%C5%82aw%20Nawrocki%20-%20Portret%20Meli%20Muter.jpg,,,Cimetière de Bagneux,"48.861944444,2.394166666","2.309166666,48.805833333",1967-01-01,15
http://www.wikidata.org/entity/Q156386,Henri Rousseau,Laval,"43.731245, 7.419744","-0.77,48.072777777",http://commons.wikimedia.org/wiki/Special:FilePath/Douanier%20Rousseau%20Dornac.jpg,gangrene,http://commons.wikimedia.org/wiki/Special:FilePath/Rousseau%20Henri%20autograph%20cropped.png,Cimetière de Bagneux,"48.861944444,2.394166666","2.309166666,48.805833333",1910-09-02,16
http://www.wikidata.org/entity/Q235605,Jeanne Hébuterne,Meaux,"43.259166666, 2.945833333","2.887777777,48.959444444",http://commons.wikimedia.org/wiki/Special:FilePath/Jeanne%20Hebuterne.jpg,,,Cimetière de Bagneux,"43.288611111,2.971388888","2.309166666,48.805833333",1920-01-26,17
http://www.wikidata.org/entity/Q243127,Aurélie Nemours,Paris,"50.942222222, 6.957777777","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Aur%C3%A9lie%20Nemours%20%281995%29.png,,,Cimetière de Bagneux,"48.861944444,2.394166666","2.309166666,48.805833333",2005-01-27,18
http://www.wikidata.org/entity/Q443779,María Blanchard,Santander,"46.533333333, 6.633333333","-3.8,43.466666666",http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Blanchard%20dando%20clase.jpg,tuberculosis,,Cimetière de Bagneux,"48.888963888,2.339222222","2.309166666,48.805833333",1932-04-05,19
http://www.wikidata.org/entity/Q2446744,Pyotr Nilus,Podolia Governorate,"47.748611111, 26.669444444","26.583333333,48.666666666",http://commons.wikimedia.org/wiki/Special:FilePath/Piotr%20Nilus.png,,,Cimetière de Bagneux,"48.862444444,2.395888888","2.309166666,48.805833333",1943-05-23,20
http://www.wikidata.org/entity/Q1362480,Yury Annenkov,Petropavl,"49.494166666, 0.108055555","69.140833333,54.862222222",http://commons.wikimedia.org/wiki/Special:FilePath/Yuri%20Annenkov%20%28self-portrait%2C%201910%20GRM%29.jpg,,,Cimetière de Bagneux,"48.838055555,2.326944444","2.309166666,48.805833333",1974-07-12,21
http://www.wikidata.org/entity/Q264193,Émile Bernard,Lille,"48.804722222, 2.134166666","3.0575,50.631944444",http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20de%20Toulouse-Lautrec%20-%20Portrait%20de%20%C3%89mile%20Bernard.jpg,,,Cimetière de Pantin,"48.861944444,2.394166666","2.415,48.885",1941-04-16,22
http://www.wikidata.org/entity/Q2830957,Albert Bettannier,Metz,"50.088611111, 14.421388888","6.176944444,49.119722222",http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Bettannier%20grave%20paris%20vaugirard.jpg,,,Cimetière de Vaugirard,"50.080555555,14.470555555","2.28444,48.8383",1932-11-17,23
